date,AL_boxOffice_usd,AR_boxOffice_usd,AW_boxOffice_usd,AU_boxOffice_usd,AT_boxOffice_usd,BH_boxOffice_usd,BD_boxOffice_usd,BE_boxOffice_usd,BO_boxOffice_usd,BR_boxOffice_usd,BG_boxOffice_usd,KH_boxOffice_usd,XC4_boxOffice_usd,CL_boxOffice_usd,CN_boxOffice_usd,CO_boxOffice_usd,CR_boxOffice_usd,HR_boxOffice_usd,CW_boxOffice_usd,CY_boxOffice_usd,CZ_boxOffice_usd,DK_boxOffice_usd,DO_boxOffice_usd,XKN_boxOffice_usd,EC_boxOffice_usd,EG_boxOffice_usd,EE_boxOffice_usd,ET_boxOffice_usd,FI_boxOffice_usd,FR_boxOffice_usd,DE_boxOffice_usd,GH_boxOffice_usd,GR_boxOffice_usd,HN_boxOffice_usd,HK_boxOffice_usd,HU_boxOffice_usd,IS_boxOffice_usd,IN_boxOffice_usd,ID_boxOffice_usd,IQ_boxOffice_usd,IL_boxOffice_usd,IT_boxOffice_usd,JM_boxOffice_usd,JP_boxOffice_usd,JO_boxOffice_usd,KE_boxOffice_usd,KW_boxOffice_usd,LV_boxOffice_usd,LB_boxOffice_usd,LT_boxOffice_usd,MY_boxOffice_usd,MX_boxOffice_usd,MN_boxOffice_usd,NL_boxOffice_usd,NZ_boxOffice_usd,NI_boxOffice_usd,NG_boxOffice_usd,NO_boxOffice_usd,OM_boxOffice_usd,PK_boxOffice_usd,PA_boxOffice_usd,PY_boxOffice_usd,PE_boxOffice_usd,PH_boxOffice_usd,PL_boxOffice_usd,PT_boxOffice_usd,QA_boxOffice_usd,RO_boxOffice_usd,RU_boxOffice_usd,XR2_boxOffice_usd,SA_boxOffice_usd,XS2_boxOffice_usd,SG_boxOffice_usd,SK_boxOffice_usd,SI_boxOffice_usd,ZA_boxOffice_usd,KR_boxOffice_usd,ES_boxOffice_usd,LK_boxOffice_usd,SE_boxOffice_usd,CH_boxOffice_usd,XS3_boxOffice_usd,XS1_boxOffice_usd,TW_boxOffice_usd,TH_boxOffice_usd,TT_boxOffice_usd,TR_boxOffice_usd,UA_boxOffice_usd,AE_boxOffice_usd,GB_boxOffice_usd,UY_boxOffice_usd,VE_boxOffice_usd,VN_boxOffice_usd,US_boxOffice_usd
2020-05-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92387
2020-04-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28102,,,,,,,,,,,,,,,,,,,496330.0,,,,,,,,,,,,,,,,,12062
2020-04-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16622,,,,,,,,,,,,,,,,,,,518386.0,,,,,,,,,,,,,,,,,5245
2020-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1485.0,,,,,,,,,,,,,,,,,,,,,,,,,,,48591,,,,,,,,,,,,,,,,,,,445597.0,,,,,,,,,,,,,,,,,14612
2020-04-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42208.0,,,,,,,,,,,,,,16866,,,,,,,,,,,,9434.0,,,,,,,521302.0,,,,,,,1320.0,,,,,,,,,,4097
2020-03-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456815.0,,,,,,,,,12158.0,,,,,,,,,,,,,,11363,,,,,,,,,,,,151555.0,,,,,,216.0,819864.0,,,,,,,9588.0,,,,,,,,,231.0,3758
2020-03-22,,,,1028980.0,,,,,,220.0,,,101.0,,,,,,,,,17306.0,,,,,,,,,5898.0,,,,830749.0,,20409.0,,205385.0,,,,,3856126.0,,4237.0,,,,,,632458.0,,102.0,265696.0,,33497.0,89,,,,,,7.0,,3891.0,,,,3184310.0,,,282136.0,,,111192.0,714627.0,,,18446.0,,,,70300.0,1481.0,9175.0,,,,49.0,,,93264.0,3920
2020-03-15,,199993.0,1685.0,3982822.0,29944.0,35768.0,348.0,49997.0,25491.0,1746476.0,704.0,25858.0,146309.0,62510.0,,313728.0,,43220.0,8177.0,,34124.0,16450.0,39378.0,,,88227.0,,6134.0,84971.0,5798883.0,3016759.0,,,,200285.0,114480.0,83965.0,342321.0,2043029.0,186.0,106871.0,,,4882595.0,2872.0,25080.0,,8273.0,,,794371.0,4841682.0,,1508459.0,830511.0,,9521.0,5579,85089.0,21436.0,435.0,,142389.0,275438.0,,84048.0,40612.0,100916.0,,7942437.0,,208644.0,188530.0,,973.0,410086.0,1830241.0,10194.0,,192838.0,124468.0,,,225674.0,323267.0,70793.0,543516.0,45696.0,586149.0,7322963.0,1698.0,57.0,340781.0,53706394
2020-03-08,847.0,1205972.0,,5523357.0,331008.0,13373.0,404.0,1210686.0,64176.0,4076369.0,172530.0,48.0,3162.0,486586.0,,1104377.0,3193.0,222871.0,,8027.0,1648000.0,227038.0,34487.0,,74749.0,130660.0,27938.0,,105482.0,19504075.0,12071199.0,,120148.0,,1018341.0,753397.0,164234.0,236552.0,507539.0,,338257.0,449007.0,,5852867.0,13804.0,8297.0,30576.0,32032.0,17613.0,241318.0,867939.0,7194184.0,,5324048.0,842236.0,,12826.0,1375551,6891.0,34396.0,2321.0,76516.0,655780.0,437063.0,2868847.0,802361.0,22924.0,980874.0,,13371034.0,625273.0,236162.0,357619.0,469645.0,101174.0,455634.0,1559331.0,6589772.0,,727474.0,380005.0,,,411448.0,452312.0,89872.0,1628742.0,1356546.0,64471.0,13561937.0,90795.0,59564.0,992097.0,100774559
2020-03-01,,526754.0,,5169020.0,344642.0,20344.0,164.0,1658868.0,28937.0,3826071.0,195234.0,774.0,,214033.0,,457020.0,3193.0,246735.0,,1575.0,810921.0,592399.0,57014.0,,,78164.0,10822.0,,308753.0,21887358.0,9135282.0,,276055.0,139.0,48707.0,720941.0,124331.0,1925715.0,430623.0,,376844.0,1958383.0,,7915165.0,23138.0,10066.0,35867.0,20499.0,23994.0,197235.0,413833.0,5163061.0,,4981353.0,791479.0,678.0,26251.0,1174118,13691.0,15733.0,6418.0,13673.0,28833.0,142997.0,2572241.0,849617.0,39139.0,1080817.0,,10896639.0,689259.0,271286.0,73283.0,700758.0,173037.0,496050.0,2053983.0,5984109.0,357.0,502268.0,610270.0,,,406112.0,101849.0,62076.0,1876549.0,1191248.0,2083893.0,11167752.0,31200.0,21546.0,852825.0,97373222
