,Country,box_office_2019_mean
0,AL,2904.0
1,AR,2509469.0
2,AW,6060.0
3,AU,11062087.0
4,AT,1079026.0
5,BH,62537.0
6,BD,
7,BE,1770535.0
8,BO,380478.0
9,BR,9173164.0
10,BG,275250.0
11,KH,
12,XC,
13,CL,1498256.0
14,CN,96780214.0
15,CO,2359095.0
16,CR,26456.0
17,HR,343132.0
18,CW,
19,CY,18596.0
20,CZ,1291633.0
21,DK,1201452.0
22,DO,42475.0
23,XK,
24,EC,251019.0
25,EG,108766.0
26,EE,73804.0
27,ET,
28,FI,679571.0
29,FR,22294412.0
30,DE,13790728.0
31,GH,2532.0
32,GR,730291.0
33,HN,14522.0
34,HK,2948701.0
35,HU,1044000.0
36,IS,146706.0
37,IN,5195338.0
38,ID,3094921.0
39,IQ,
40,IL,480072.0
41,IT,8907229.0
42,JM,28134.0
43,JP,16658048.0
44,JO,20783.0
45,KE,11319.0
46,KW,187201.0
47,LV,55660.0
48,LB,65090.0
49,LT,295223.0
50,MY,1927815.0
51,MX,11863018.0
52,MN,19196.0
53,NL,4893353.0
54,NZ,1717340.0
55,NI,5774.0
56,NG,37886.0
57,NO,1640878.0
58,OM,40611.0
59,PK,45760.0
60,PA,76883.0
61,PY,134908.0
62,PE,520596.0
63,PH,2433493.0
64,PL,2990681.0
65,PT,1229542.0
66,QA,84757.0
67,RO,761155.0
68,RU,13893281.0
69,XR,12403793.0
70,SA,
71,XS,
72,SG,1296904.0
73,SK,517005.0
74,SI,185556.0
75,ZA,1108418.0
76,KR,19892881.0
77,ES,8240680.0
78,LK,1655.0
79,SE,1461041.0
80,CH,1468211.0
81,TW,2342121.0
82,TH,1536268.0
83,TT,86590.0
84,TR,2004980.0
85,UA,1555246.0
86,AE,3136519.0
87,GB,19907303.0
88,UY,235053.0
89,VE,140646.0
90,VN,1537685.0
91,US,149021153.0
