country_code,confirmed,death,recovered,active
AF,29157,598,8841,19718
AL,1995,44,1159,792
DZ,11920,852,8559,2509
AD,855,52,796,7
AO,186,10,77,99
AG,26,3,22,1
AR,44931,1043,13153,30735
AM,20588,360,9131,11097
AU,7492,102,6915,475
AT,17380,690,16241,449
AZ,13207,161,7168,5878
BS,104,11,77,16
BH,22407,65,16862,5480
BD,115786,1502,46755,67529
BB,97,7,85,5
BY,59023,351,37923,20749
BE,60550,9696,16771,34083
BZ,23,2,17,4
BJ,807,13,253,541
BT,68,0,32,36
BO,25493,820,5857,18816
BA,3525,171,2270,1084
BW,89,1,25,63
BR,1106470,51271,601736,453463
BN,141,3,138,0
BG,3984,207,2171,1606
BF,903,53,814,36
MM,291,6,200,85
BI,144,1,93,50
CV,944,8,419,517
KH,130,0,127,3
CM,12041,308,7740,3993
CA,103418,8494,65721,29203
CF,2963,30,495,2438
TD,858,74,755,29
CL,246963,4502,205397,37064
CN,84624,4639,79547,438
CO,71367,2426,29024,39917
KM,247,5,159,83
CG,1087,37,456,594
CD,5924,135,856,4933
CR,2277,12,1043,1222
CI,7677,56,3493,4128
HR,2336,107,2142,87
CU,2315,85,2113,117
CY,988,19,824,145
CZ,10523,336,7537,2650
DK,12727,602,11547,578
DJ,4599,48,3952,599
DM,18,0,18,0
DO,27370,669,15338,11363
EC,50640,4223,24991,21426
EG,56809,2278,15133,39398
SV,4808,107,2655,2046
GQ,1664,32,515,1117
ER,143,0,39,104
EE,1981,69,1765,147
SZ,643,6,291,346
ET,4663,75,1297,3291
FJ,18,0,18,0
FI,7144,327,6400,417
FR,197381,29666,74736,92979
GA,4739,39,2002,2698
GM,41,2,26,13
GE,908,14,761,133
DE,191768,8899,175143,7726
GH,14154,85,10473,3596
GR,3287,190,1374,1723
GD,23,0,23,0
GT,13769,547,2818,10404
GN,4988,27,3669,1292
GW,1556,19,191,1346
GY,205,12,103,90
HT,5211,88,24,5099
VA,12,0,12,0
HN,13356,395,1362,11599
HU,4102,572,2590,940
IS,1823,10,1805,8
IN,440215,14011,248190,178014
ID,46845,2500,18735,25610
IR,207525,9742,166427,31356
IQ,32676,1167,14785,16724
IE,25383,1717,22698,968
IL,21082,307,15761,5014
IT,238720,34657,183426,20637
JM,665,10,516,139
JP,17820,955,15957,908
JO,1042,9,751,282
KZ,18231,127,11158,6946
KE,4797,125,1680,2992
KR,12484,281,10908,1295
XK,2169,37,1047,1085
KW,40291,330,31770,8191
KG,3356,40,2021,1295
LA,19,0,19,0
LV,1111,30,903,178
LB,1603,32,1077,494
LS,12,0,2,10
LR,650,34,260,356
LY,595,10,116,469
LI,83,1,69,13
LT,1801,76,1475,250
LU,4121,110,3959,52
MG,1640,15,692,933
MW,749,11,258,480
MY,8587,121,8177,289
MV,2217,8,1813,396
ML,1961,111,1266,584
MT,665,9,617,39
MR,3121,112,905,2104
MU,340,10,326,4
MX,185122,22584,139383,23155
MD,14363,480,8019,5864
MC,101,4,95,2
MN,215,0,158,57
ME,367,9,315,43
MA,10172,214,8366,1592
MZ,737,5,181,551
NA,63,0,21,42
NP,9561,23,2148,7390
NL,49866,6109,186,43571
NZ,1515,22,1483,10
NI,1823,64,1238,521
NE,1046,67,913,66
NG,20919,525,7109,13285
MK,5196,247,1974,2975
NO,8751,248,8138,365
OM,31076,137,16408,14531
PK,185034,3695,73471,107868
PA,26752,521,14664,11567
PG,9,0,8,1
PY,1392,13,903,476
PE,257447,8223,145320,103904
PH,30682,1177,8143,21362
PL,32227,1359,17076,13792
PT,39392,1534,25548,12310
QA,88403,99,69956,18348
RO,24291,1523,17031,5737
RU,591465,8196,343847,239422
RW,787,2,370,415
KN,15,0,15,0
LC,19,0,18,1
VC,29,0,26,3
SM,697,42,627,28
ST,702,12,203,487
SA,161005,1307,105175,54523
SN,5970,86,3953,1931
RS,12990,262,11997,731
SC,11,0,11,0
SL,1340,55,788,497
SG,42313,26,35590,6697
SK,1588,28,1447,113
SI,1521,109,1376,36
SO,2812,90,818,1904
ZA,101590,1991,53444,46155
SS,1916,35,190,1691
ES,246504,28324,150376,67804
LK,1951,11,1526,414
SD,8698,533,3460,4705
SR,319,8,132,179
SE,58932,5122,0,53810
CH,31310,1956,29000,354
SY,219,7,83,129
TW,446,7,435,4
TJ,5513,52,4039,1422
TZ,509,21,183,305
TH,3151,58,3022,71
TL,24,0,24,0
TG,569,13,380,176
TT,123,8,109,6
TN,1159,50,1020,89
TR,188897,4974,161533,22390
US,2312302,120402,640198,1551702
UG,774,0,631,143
UA,38056,1022,17211,19823
AE,45303,303,33046,11954
GB,306761,42731,1322,262708
UY,882,25,815,42
UZ,6461,19,4450,1992
VE,4048,35,1327,2686
VN,349,0,328,21
PS,1001,3,442,556
EH,10,1,8,1
YE,967,257,350,360
ZM,1430,11,1194,225
ZW,512,6,64,442
