date,CN_search,AF_search,AL_search,DZ_search,AD_search,AO_search,AG_search,AR_search,AM_search,AU_search,AT_search,AZ_search,BS_search,BH_search,BD_search,BB_search,BY_search,BE_search,BZ_search,BJ_search,BT_search,BO_search,BA_search,BW_search,BR_search,BN_search,BG_search,BF_search,MM_search,BI_search,CV_search,KH_search,CM_search,CA_search,CF_search,TD_search,CL_search,CO_search,CG_search,CD_search,CR_search,CI_search,HR_search,CU_search,CY_search,CZ_search,DK_search,DJ_search,DM_search,DO_search,EC_search,EG_search,SV_search,GQ_search,ER_search,EE_search,SZ_search,ET_search,FJ_search,FI_search,FR_search,GA_search,GM_search,GE_search,DE_search,GH_search,GR_search,GD_search,GT_search,GN_search,GW_search,GY_search,HT_search,VA_search,HN_search,HU_search,IS_search,IN_search,ID_search,IR_search,IQ_search,IE_search,IL_search,IT_search,JM_search,JP_search,JO_search,KZ_search,KE_search,KR_search,XK_search,KW_search,KG_search,LA_search,LV_search,LB_search,LR_search,LY_search,LI_search,LT_search,LU_search,MG_search,MW_search,MY_search,MV_search,ML_search,MT_search,MR_search,MU_search,MX_search,MD_search,MC_search,MN_search,ME_search,MA_search,MZ_search,NA_search,NP_search,NL_search,NZ_search,NI_search,NE_search,NG_search,MK_search,NO_search,OM_search,PK_search,PA_search,PG_search,PY_search,PE_search,PH_search,PL_search,PT_search,QA_search,RO_search,RU_search,RW_search,KN_search,LC_search,VC_search,SM_search,ST_search,SA_search,SN_search,RS_search,SC_search,SL_search,SG_search,SK_search,SI_search,SO_search,ZA_search,SS_search,ES_search,LK_search,SD_search,SR_search,SE_search,CH_search,SY_search,TW_search,TZ_search,TH_search,TL_search,TG_search,TT_search,TN_search,TR_search,US_search,UG_search,UA_search,AE_search,GB_search,UY_search,UZ_search,VE_search,VN_search,PS_search,EH_search,YE_search,ZM_search,ZW_search
2020-01-26,89,3,6,2,4,2,6,7,6,17,18,5,9,8,5,6,9,10,19,3,14,7,21,10,7,36,7,3,15,0,0,40,5,23,0,6,8,9,9,2,5,11,20,4,9,21,10,6,32,5,7,8,9,15,0,11,6,2,18,16,8,6,0,17,10,3,8,9,7,10,0,3,5,,3,18,23,2,23,3,10,6,9,4,8,13,8,1,6,24,8,5,4,41,15,12,3,0,11,12,9,7,16,44,22,2,13,0,11,7,13,,100,3,6,7,14,8,16,14,5,7,4,14,17,3,6,6,37,8,3,30,9,9,7,6,6,6,21,12,13,0,0,3,3,15,17,0,30,22,9,4,6,0,3,23,21,4,22,10,7,21,3,13,28,4,14,3,14,10,1,8,8,6,5,6,7,9,10,0,0,6,9
2020-01-27,100,3,9,2,5,2,12,6,2,19,12,7,11,8,5,12,12,8,29,7,26,6,12,8,7,36,6,2,18,9,5,61,6,22,0,5,7,10,6,3,5,7,14,4,11,30,15,6,42,5,21,6,9,14,0,20,0,1,6,20,8,3,0,12,11,4,8,16,5,3,0,8,5,,5,24,22,4,21,4,8,7,6,4,8,16,9,3,5,43,6,4,19,51,14,11,6,10,28,10,11,9,7,41,17,2,6,0,15,5,8,,69,0,5,6,3,7,17,20,5,4,5,8,16,3,8,6,33,7,8,35,11,5,5,8,9,6,34,0,7,5,0,3,3,14,0,2,33,18,6,2,5,0,3,32,11,10,25,12,7,15,3,11,26,5,6,2,18,11,3,11,9,6,4,10,5,8,16,0,0,3,10
2020-01-28,88,3,9,2,9,10,14,9,12,22,13,8,9,6,5,23,14,9,34,4,34,13,15,15,14,48,9,3,18,7,19,71,7,25,0,10,10,10,6,3,6,6,19,5,11,27,27,0,23,6,17,5,10,11,0,16,6,7,10,19,7,7,8,10,24,7,9,27,6,3,0,8,7,,4,30,20,6,14,4,7,8,9,7,45,21,8,3,15,50,9,5,23,29,21,10,11,5,14,11,14,13,7,39,17,7,14,8,15,6,13,,57,15,4,6,9,6,26,21,3,0,5,14,18,4,8,7,17,22,15,30,20,7,6,7,10,8,39,16,14,11,0,3,8,13,23,3,50,16,13,2,8,5,5,41,8,12,19,10,0,20,5,13,15,2,12,4,18,11,3,12,11,7,6,9,8,7,12,0,0,10,6
2020-01-29,98,10,11,2,15,27,6,9,9,20,10,4,7,12,5,16,14,8,7,4,19,13,17,16,18,36,11,3,24,8,10,35,7,22,0,23,11,10,3,6,8,6,20,3,9,17,20,7,22,6,16,5,14,0,0,30,6,6,19,46,7,3,7,16,19,7,10,21,7,8,11,5,5,,8,40,26,6,10,6,14,7,9,7,17,21,8,2,11,43,5,7,8,32,16,16,10,10,12,10,11,11,14,35,15,5,10,14,17,8,9,,55,6,6,21,13,6,19,19,8,4,5,12,31,6,8,9,15,25,8,29,22,7,8,6,9,6,0,6,7,14,18,4,5,8,13,2,44,17,10,2,11,4,5,29,17,8,20,7,7,22,5,11,11,3,11,6,19,11,5,9,32,8,10,9,7,7,8,12,0,12,11
2020-01-30,84,14,13,3,14,24,14,15,9,21,10,7,24,12,5,14,4,9,7,3,40,16,18,29,16,65,11,1,11,15,11,35,7,22,0,0,10,9,9,7,9,5,21,8,16,21,17,40,0,7,18,6,15,22,0,39,10,3,13,31,8,3,4,17,18,5,12,50,9,3,0,10,10,,10,35,19,8,9,8,9,13,12,15,14,23,8,2,7,39,14,9,12,47,27,12,6,10,0,15,11,10,22,33,41,2,14,15,13,10,7,,41,14,5,27,14,7,18,19,10,11,8,9,24,6,9,12,12,9,9,62,17,10,10,6,10,9,31,12,14,6,0,4,6,7,13,3,44,15,11,2,12,19,7,19,32,12,23,9,7,26,5,12,17,3,18,5,28,11,5,12,25,11,8,10,7,6,4,0,0,4,6
2020-01-31,77,16,19,3,5,16,18,16,9,19,11,14,14,14,6,17,23,9,17,8,31,17,19,43,13,38,16,2,25,16,29,39,9,19,0,7,9,10,12,6,13,8,25,6,25,18,14,8,28,9,16,8,36,11,0,38,6,5,12,25,8,10,15,24,17,6,14,19,13,6,25,18,6,,9,31,41,8,9,14,19,13,14,22,13,23,6,3,7,52,10,7,13,43,29,17,12,5,8,17,13,11,13,34,62,6,22,0,17,12,9,,44,3,6,16,14,10,17,26,9,7,8,16,27,6,10,19,20,7,10,47,19,13,8,7,15,11,43,12,26,10,21,4,4,13,7,2,43,28,17,6,13,5,8,16,11,17,39,9,0,29,9,12,14,2,23,6,25,11,3,15,19,17,10,17,9,11,8,0,12,17,20
2020-02-01,65,12,12,3,8,8,10,10,6,16,10,5,13,6,4,14,11,6,12,5,26,12,13,41,8,30,7,3,25,18,12,26,4,13,0,5,9,8,4,4,9,1,27,8,16,13,14,7,31,8,14,6,17,15,0,17,5,3,12,23,6,14,13,15,12,4,13,25,14,5,0,22,9,,7,21,17,7,8,11,11,9,11,12,12,14,10,4,5,40,7,8,9,48,19,11,9,5,23,17,15,8,4,25,36,2,14,8,6,9,10,,29,4,5,9,25,9,14,18,12,6,8,10,18,6,7,12,19,6,6,21,14,15,7,6,11,11,43,7,0,9,0,3,5,5,23,0,35,16,10,5,9,8,8,15,16,5,24,7,0,18,4,9,14,2,13,4,18,9,3,8,14,8,8,12,9,8,8,11,0,2,12
2020-02-02,61,5,10,2,4,5,10,8,6,13,8,6,15,6,3,12,7,6,12,3,20,9,11,15,6,46,15,2,12,0,9,20,5,11,0,6,7,8,9,2,9,2,29,10,9,11,10,6,0,7,11,5,14,15,100,12,9,4,10,17,5,6,16,7,11,5,14,15,10,3,0,13,7,,8,20,14,6,7,7,9,10,13,8,15,13,7,3,6,40,6,6,4,15,9,7,10,5,21,17,11,11,9,25,15,3,7,0,10,9,12,,35,7,3,5,19,9,11,15,8,7,7,11,14,6,7,9,9,6,6,21,13,8,8,5,9,10,0,6,10,7,0,3,2,8,16,2,32,14,12,0,9,0,5,9,8,14,18,6,14,17,6,10,0,2,9,3,17,7,3,8,12,7,6,7,8,7,12,10,0,6,13
2020-02-03,41,9,10,3,5,7,19,6,5,12,6,7,7,11,4,13,13,6,9,3,20,9,14,15,5,39,8,3,13,11,9,23,5,10,0,0,5,5,3,5,6,6,20,7,9,12,12,12,25,7,8,6,14,0,50,16,14,5,11,17,4,3,5,8,9,5,4,12,7,5,0,10,6,,4,19,12,7,7,8,6,7,14,5,8,13,4,1,8,37,5,5,10,22,15,7,7,6,10,16,7,6,13,22,18,4,1,7,12,6,11,,13,3,4,13,9,6,10,12,5,9,7,8,8,4,5,9,13,4,4,18,10,7,9,4,8,9,19,5,11,6,0,3,3,8,6,8,30,12,6,0,9,4,4,9,16,8,16,5,13,20,3,8,0,3,7,3,15,7,3,6,10,6,4,6,7,7,11,0,0,7,10
2020-02-04,40,19,5,2,6,9,9,5,7,11,5,7,8,5,3,15,4,8,19,5,32,14,9,13,4,48,12,4,18,15,10,24,6,10,0,5,5,4,3,4,6,5,17,12,8,10,7,6,0,9,6,5,10,43,67,12,8,4,18,14,4,11,9,9,8,5,7,10,8,9,0,13,4,,4,14,13,6,7,6,7,5,13,5,8,13,4,2,5,32,3,6,7,32,20,5,3,0,7,4,7,8,4,25,9,4,5,0,13,6,7,,20,10,3,9,10,6,10,12,4,9,6,5,9,4,5,11,16,3,4,15,9,8,7,4,7,5,31,10,7,7,18,3,5,5,0,5,44,7,9,0,7,5,3,7,6,12,14,5,14,20,2,8,13,2,11,2,11,6,3,5,7,5,3,11,7,7,4,0,0,10,10
