date,CN_search
2020-01-26,100.0
2020-01-27,73.0
2020-01-28,71.0
2020-01-29,60.0
2020-01-30,53.0
2020-01-31,51.0
2020-02-01,47.0
2020-02-02,46.0
2020-02-03,44.0
2020-02-04,40.0
2020-02-05,39.0
2020-02-06,38.0
2020-02-07,38.0
2020-02-08,35.0
2020-02-09,32.0
2020-02-10,32.0
2020-02-11,28.0
2020-02-12,26.0
2020-02-13,32.0
2020-02-14,26.0
2020-02-15,22.0
2020-02-16,20.0
2020-02-17,20.0
2020-02-18,18.0
2020-02-19,17.0
2020-02-20,17.0
2020-02-21,17.0
2020-02-22,15.0
2020-02-23,14.0
2020-02-24,15.0
2020-02-25,13.0
2020-02-26,12.0
2020-02-27,12.0
2020-02-28,12.0
2020-02-29,12.0
2020-03-01,11.0
2020-03-02,11.0
2020-03-03,10.0
2020-03-04,11.0
2020-03-05,10.0
2020-03-06,9.0
2020-03-07,8.0
2020-03-08,8.0
2020-03-09,8.0
2020-03-10,8.0
2020-03-11,8.0
2020-03-12,8.0
2020-03-13,8.0
2020-03-14,8.0
2020-03-15,8.0
2020-03-16,8.0
2020-03-17,7.0
2020-03-18,7.0
2020-03-19,7.0
2020-03-20,7.0
2020-03-21,7.0
2020-03-22,7.0
2020-03-23,7.0
2020-03-24,7.0
2020-03-25,6.0
2020-03-26,6.0
2020-03-27,6.0
2020-03-28,6.0
2020-03-29,6.0
2020-03-30,6.0
2020-03-31,5.0
2020-04-01,5.0
2020-04-02,5.0
2020-04-03,5.0
2020-04-04,6.0
2020-04-05,4.0
2020-04-06,5.0
2020-04-07,5.0
2020-04-08,5.0
2020-04-09,4.0
2020-04-10,4.0
2020-04-11,4.0
2020-04-12,4.0
2020-04-13,4.0
2020-04-14,4.0
2020-04-15,4.0
2020-04-16,4.0
2020-04-17,4.0
2020-04-18,3.0
2020-04-19,3.0
2020-04-20,3.0
2020-04-21,3.0
2020-04-22,3.0
2020-04-23,3.0
2020-04-24,3.0
2020-04-25,3.0
2020-04-26,3.0
2020-04-27,3.0
2020-04-28,3.0
2020-04-29,2.0
2020-04-30,2.0
2020-05-01,2.0
2020-05-02,2.0
2020-05-03,2.0
2020-05-04,2.0
2020-05-05,2.0
2020-05-06,2.0
2020-05-07,2.0
2020-05-08,2.0
2020-05-09,2.0
2020-05-10,2.0
2020-05-11,2.0
2020-05-12,2.0
2020-05-13,2.0
2020-05-14,2.0
2020-05-15,2.0
2020-05-16,2.0
2020-05-17,2.0
2020-05-18,2.0
2020-05-19,2.0
2020-05-20,2.0
2020-05-21,2.0
2020-05-22,2.0
2020-05-23,1.0
2020-05-24,2.0
2020-05-25,2.0
2020-05-26,1.0
2020-05-27,1.0
2020-05-28,1.0
2020-05-29,1.0
2020-05-30,1.0
2020-05-31,1.0
2020-06-01,1.0
2020-06-02,1.0
2020-06-03,1.0
2020-06-04,1.0
2020-06-05,1.0
2020-06-06,1.0
2020-06-07,1.0
2020-06-08,1.0
2020-06-09,1.0
2020-06-10,1.0
2020-06-11,1.0
2020-06-12,1.0
2020-06-13,2.0
2020-06-14,2.0
2020-06-15,3.0
2020-06-16,3.0
2020-06-17,3.0
2020-06-18,2.0
2020-06-19,2.0
2020-06-20,2.0
2020-06-21,2.0
2020-06-22,2.0
2020-06-23,2.0
2020-06-24,1.0
2020-06-25,1.0
2020-06-26,1.0
2020-06-27,1.0
2020-06-28,1.0
