country_code,box_office_2019_mean
AL,2904.0
AR,2509469.0
AW,6060.0
AU,11062087.0
AT,1079026.0
BH,62537.0
BD,
BE,1770535.0
BO,380478.0
BR,9173164.0
BG,275250.0
KH,
XC,
CL,1498256.0
CN,96780214.0
CO,2359095.0
CR,26456.0
HR,343132.0
CW,
CY,18596.0
CZ,1291633.0
DK,1201452.0
DO,42475.0
XK,
EC,251019.0
EG,108766.0
EE,73804.0
ET,
FI,679571.0
FR,22294412.0
DE,13790728.0
GH,2532.0
GR,730291.0
HN,14522.0
HK,2948701.0
HU,1044000.0
IS,146706.0
IN,5195338.0
ID,3094921.0
IQ,
IL,480072.0
IT,8907229.0
JM,28134.0
JP,16658048.0
JO,20783.0
KE,11319.0
KW,187201.0
LV,55660.0
LB,65090.0
LT,295223.0
MY,1927815.0
MX,11863018.0
MN,19196.0
NL,4893353.0
NZ,1717340.0
NI,5774.0
NG,37886.0
NO,1640878.0
OM,40611.0
PK,45760.0
PA,76883.0
PY,134908.0
PE,520596.0
PH,2433493.0
PL,2990681.0
PT,1229542.0
QA,84757.0
RO,761155.0
RU,13893281.0
XR,12403793.0
SA,
XS,
SG,1296904.0
SK,517005.0
SI,185556.0
ZA,1108418.0
KR,19892881.0
ES,8240680.0
LK,1655.0
SE,1461041.0
CH,1468211.0
TW,2342121.0
TH,1536268.0
TT,86590.0
TR,2004980.0
UA,1555246.0
AE,3136519.0
GB,19907303.0
UY,235053.0
VE,140646.0
VN,1537685.0
US,149021153.0
