country_code,region,sub_region,country_name_cn
AU,Oceania,Australia and New Zealand,澳大利亚
SO,Africa,Eastern Africa,索马里
CY,Asia,Western Asia,賽普勒斯
IN,Asia,Southern Asia,印度
ZW,Africa,Eastern Africa,辛巴威
ZM,Africa,Eastern Africa,赞比亚
YE,Asia,Western Asia,也门
VN,Asia,South-Eastern Asia,越南
VE,Americas,South America,委內瑞拉
VA,Europe,Southern Europe,梵蒂冈
VU,Oceania,Melanesia,萬那杜
UZ,Asia,Central Asia,乌兹别克斯坦
UY,Americas,South America,乌拉圭
FM,Oceania,Micronesia,密克罗尼西亚联邦
MH,Oceania,Micronesia,馬紹爾群島
MP,Oceania,Micronesia,北马里亚纳群岛
VI,Americas,Caribbean,美屬維爾京群島
GU,Oceania,Micronesia,關島
AS,Oceania,Polynesia,美屬薩摩亞
PR,Americas,Caribbean,波多黎各
US,Americas,Northern America,美国
GS,Seven seas (open ocean),Seven seas (open ocean),南喬治亞島與南桑威奇群島
IO,Seven seas (open ocean),Seven seas (open ocean),英屬印度洋領地
SH,Africa,Western Africa,圣赫勒拿岛
PN,Oceania,Polynesia,皮特凯恩群岛
AI,Americas,Caribbean,安圭拉
FK,Americas,South America,福克兰群岛
KY,Americas,Caribbean,開曼群島
BM,Americas,Northern America,百慕大
VG,Americas,Caribbean,英屬維爾京群島
TC,Americas,Caribbean,特克斯和凯科斯群岛
MS,Americas,Caribbean,蒙塞拉特島
JE,Europe,Northern Europe,澤西島
GG,Europe,Northern Europe,根西岛
IM,Europe,Northern Europe,马恩岛
GB,Europe,Northern Europe,英国
AE,Asia,Western Asia,阿拉伯联合酋长国
UA,Europe,Eastern Europe,乌克兰
UG,Africa,Eastern Africa,乌干达
TM,Asia,Central Asia,土库曼斯坦
TR,Asia,Western Asia,土耳其
TN,Africa,Northern Africa,突尼西亞
TT,Americas,Caribbean,千里達及托巴哥
TO,Oceania,Polynesia,東加
TG,Africa,Western Africa,多哥
TL,Asia,South-Eastern Asia,东帝汶
TH,Asia,South-Eastern Asia,泰国
