date,CN_search,AF_search,AL_search,DZ_search,AD_search,AO_search,AG_search,AR_search,AM_search,AU_search,AT_search,AZ_search,BS_search,BH_search,BD_search,BB_search,BY_search,BE_search,BZ_search,BJ_search,BT_search,BO_search,BA_search,BW_search,BR_search,BN_search,BG_search,BF_search,MM_search,BI_search,CV_search,KH_search,CM_search,CA_search,CF_search,TD_search,CL_search,CO_search,KM_search,CG_search,CD_search,CR_search,CI_search,HR_search,CU_search,CY_search,CZ_search,DK_search,DJ_search,DM_search,DO_search,EC_search,EG_search,SV_search,GQ_search,ER_search,EE_search,SZ_search,ET_search,FJ_search,FI_search,FR_search,GA_search,GM_search,GE_search,DE_search,GH_search,GR_search,GD_search,GT_search,GN_search,GW_search,GY_search,HT_search,VA_search,HN_search,HU_search,IS_search,IN_search,ID_search,IR_search,IQ_search,IE_search,IL_search,IT_search,JM_search,JP_search,JO_search,KZ_search,KE_search,KR_search,XK_search,KW_search,KG_search,LA_search,LV_search,LB_search,LR_search,LY_search,LI_search,LT_search,LU_search,MG_search,MW_search,MY_search,MV_search,ML_search,MT_search,MR_search,MU_search,MX_search,MD_search,MC_search,MN_search,ME_search,MA_search,MZ_search,NA_search,NP_search,NL_search,NZ_search,NI_search,NE_search,NG_search,MK_search,NO_search,OM_search,PK_search,PA_search,PG_search,PY_search,PE_search,PH_search,PL_search,PT_search,QA_search,RO_search,RU_search,RW_search,KN_search,LC_search,VC_search,SM_search,ST_search,SA_search,SN_search,RS_search,SC_search,SL_search,SG_search,SK_search,SI_search,SO_search,ZA_search,SS_search,ES_search,LK_search,SD_search,SR_search,SE_search,CH_search,SY_search,TW_search,TJ_search,TZ_search,TH_search,TL_search,TG_search,TT_search,TN_search,TR_search,US_search,UG_search,UA_search,AE_search,GB_search,UY_search,UZ_search,VE_search,VN_search,PS_search,EH_search,YE_search,ZM_search,ZW_search
2020-02-10,67,9,5,1,4,5,8,3,7,9,4,2,6,4,3,8,11,4,20,4,10,9,4,12,3,45,8,6,13,8,6,22,3,8,17,17,5,4,16,3,7,4,5,9,3,8,6,4,15,0,6,4,3,4,0,0,11,14,5,7,11,5,22,5,2,4,2,5,14,4,5,16,4,5,,6,8,6,4,7,3,4,7,11,4,5,13,2,1,4,26,5,4,8,32,10,1,5,0,7,8,4,7,10,30,7,6,1,9,13,4,5,,22,4,2,6,8,4,6,12,3,17,6,5,8,3,2,6,17,3,4,12,6,5,3,3,5,0,13,0,0,0,34,1,8,4,15,6,91,6,6,2,6,0,4,8,0,3,8,5,8,21,0,2,7,0,3,8,1,7,5,4,6,7,9,3,6,5,5,10,0,0,8,8
2020-02-11,43,12,2,1,5,4,18,4,5,10,4,3,8,3,3,9,5,4,8,5,25,8,7,4,3,54,7,6,15,0,24,15,4,8,0,20,6,4,0,0,6,4,4,6,4,8,7,7,0,15,5,4,3,4,0,0,12,7,4,5,15,4,9,5,5,4,4,6,13,4,12,0,6,4,,3,7,13,3,6,3,5,7,12,5,8,10,3,1,5,21,3,2,4,20,7,3,3,5,14,6,5,8,7,30,13,9,4,9,13,4,5,,25,4,3,7,2,4,6,10,6,9,4,6,7,2,2,5,12,2,3,9,7,5,3,4,4,9,17,36,7,13,26,2,6,6,8,5,76,5,7,4,6,0,4,7,0,6,8,4,0,15,13,4,7,0,7,6,1,7,5,4,5,6,8,3,6,3,5,8,0,0,6,7
2020-02-12,28,8,6,1,6,7,9,4,6,9,4,3,8,4,3,13,10,3,16,5,13,7,4,8,2,37,7,2,12,7,12,14,7,7,0,9,6,5,33,3,4,5,2,8,4,4,8,6,12,13,4,3,1,5,0,0,9,10,5,3,10,4,5,5,5,5,3,6,0,5,6,0,0,3,,3,5,5,3,6,2,3,5,9,4,4,13,3,1,4,21,3,2,8,25,6,2,3,5,7,5,4,7,8,25,4,5,3,0,11,4,2,,56,13,2,4,4,5,5,10,2,0,4,3,8,3,2,6,5,3,3,8,8,5,3,6,4,6,15,37,6,7,0,2,5,3,9,5,73,5,6,2,6,0,3,7,4,3,8,4,0,18,0,5,6,0,2,8,2,6,4,3,4,6,8,2,6,4,4,4,10,0,7,7
2020-02-13,23,9,7,1,6,5,8,4,4,9,4,3,6,3,3,10,8,5,10,4,19,7,13,7,3,36,8,5,12,8,15,20,3,8,0,10,5,6,25,5,6,4,3,4,3,6,8,7,8,0,2,4,3,3,6,0,9,6,2,9,10,4,13,6,5,6,3,7,7,5,6,0,4,5,,4,9,7,4,7,5,3,6,11,4,9,17,4,1,3,26,7,3,8,19,10,4,4,9,8,7,4,7,8,28,9,6,4,0,13,4,4,,29,8,3,9,10,5,7,10,2,6,4,7,11,3,1,4,9,3,3,7,7,5,3,6,5,4,0,8,0,0,0,2,6,6,0,7,72,8,9,0,5,4,3,7,0,7,10,5,0,14,0,3,9,18,3,6,1,7,5,6,6,6,8,2,6,4,5,7,0,0,10,6
2020-02-14,27,9,4,2,11,6,0,3,3,8,3,3,4,5,3,3,8,3,15,5,8,5,8,6,2,53,6,4,15,0,7,14,4,6,0,0,4,6,19,3,6,5,3,12,3,5,6,4,8,0,2,3,4,4,0,0,9,5,5,9,7,3,4,8,3,5,3,5,0,6,9,0,5,5,,3,7,8,3,5,3,2,4,11,3,4,16,5,1,4,16,3,2,4,10,7,3,6,5,0,5,4,7,10,22,11,0,3,0,7,3,7,,24,4,3,4,5,4,5,8,3,4,5,6,7,3,3,3,5,2,2,6,8,4,3,4,5,6,0,8,0,0,21,2,2,6,19,0,63,6,6,6,4,0,3,8,0,0,7,4,7,12,18,5,7,0,2,6,1,7,4,2,5,5,6,2,6,3,4,7,0,0,6,2
2020-02-15,23,10,5,1,6,8,28,3,4,7,4,3,5,4,3,10,6,4,0,6,16,5,8,0,2,28,6,2,7,8,15,16,2,6,0,5,4,5,17,11,5,5,2,8,3,2,7,4,9,0,3,3,7,3,0,0,9,37,3,8,9,4,4,0,2,5,4,5,0,4,3,0,11,2,,1,6,11,3,5,3,2,3,10,4,4,13,4,1,5,17,4,2,9,23,13,2,0,4,13,6,4,3,11,20,7,3,3,0,6,3,2,,23,5,3,6,4,3,5,11,2,4,4,2,3,2,2,3,19,1,2,5,7,3,3,3,4,0,0,0,0,0,0,1,3,1,7,2,59,4,5,0,5,4,2,5,4,0,6,4,0,8,0,3,6,0,7,6,1,4,3,3,5,5,4,2,4,2,3,13,0,0,4,13
2020-02-16,28,13,3,1,9,10,9,3,9,7,3,4,5,3,3,5,3,2,6,3,11,6,5,4,2,19,5,2,7,0,14,12,4,6,0,6,3,4,0,3,3,5,2,6,2,3,6,5,8,0,2,3,4,3,0,0,11,19,3,5,9,3,11,5,5,4,3,6,22,3,5,0,10,3,,2,4,9,3,4,2,2,3,11,3,4,14,2,1,4,13,6,2,7,18,5,1,3,4,0,6,3,2,12,19,8,3,2,8,5,3,3,,16,5,2,8,9,4,5,9,4,4,4,5,5,4,2,3,0,2,2,5,4,3,3,3,2,5,33,28,7,0,0,2,4,3,8,0,51,3,6,2,4,0,2,6,4,3,6,4,0,7,0,3,4,0,2,5,1,4,3,3,3,4,4,2,3,4,3,10,9,0,4,12
2020-02-17,39,3,3,1,3,7,0,2,8,6,3,2,5,2,3,5,8,3,7,5,10,6,1,7,2,25,6,2,7,0,18,11,4,6,0,5,4,4,0,3,5,3,3,3,4,3,6,5,7,0,3,3,4,1,0,0,5,5,2,5,9,3,4,5,2,4,2,5,8,3,3,0,2,2,,3,5,7,3,3,3,3,4,9,3,5,15,2,1,3,14,2,2,4,25,5,2,3,10,7,2,2,7,4,17,2,4,2,9,5,3,4,,20,0,2,7,2,2,5,8,4,4,3,5,5,2,2,4,2,2,2,5,5,3,4,3,4,0,13,32,0,6,0,1,4,3,0,4,44,3,5,3,4,0,2,4,0,3,6,3,0,10,0,1,5,17,4,5,1,3,4,4,5,5,4,2,3,3,3,8,9,0,4,5
2020-02-18,28,4,3,1,5,7,0,2,3,6,3,3,3,2,2,6,7,2,6,4,8,4,1,3,2,38,5,1,7,7,9,16,4,5,0,0,4,4,13,3,7,3,2,0,2,5,4,3,0,14,1,3,3,2,14,0,6,0,3,10,6,3,7,14,4,4,3,3,0,3,3,0,6,3,,14,3,4,3,3,2,2,4,9,3,3,14,4,1,6,21,0,2,6,21,5,0,5,0,7,4,3,7,4,16,7,3,6,7,6,3,3,,13,5,1,5,3,3,4,6,3,5,3,3,4,1,2,4,2,2,2,5,5,3,3,2,3,2,0,7,0,11,0,1,2,3,8,0,36,2,5,2,4,0,2,5,0,6,8,3,0,11,0,2,5,0,3,5,1,3,4,3,3,3,3,2,5,3,3,4,0,0,6,9
2020-02-19,23,3,2,1,0,7,0,2,6,5,3,1,5,3,2,5,3,2,6,2,12,4,0,5,1,19,5,1,7,0,6,15,2,5,13,10,4,4,0,6,4,3,1,3,2,2,4,4,0,0,2,2,2,3,7,0,4,5,2,7,7,2,11,10,4,4,3,3,13,3,0,16,2,2,,11,5,5,2,3,14,2,3,7,3,5,17,3,1,5,31,2,2,4,8,4,2,0,0,7,2,4,8,0,12,5,0,2,0,5,2,4,,14,4,1,3,2,3,3,6,12,6,3,1,3,2,1,2,8,1,2,4,4,2,3,2,3,4,11,6,0,0,0,2,3,3,0,2,34,3,4,3,4,4,2,3,0,0,5,3,0,10,8,2,5,0,4,4,0,6,3,2,2,4,3,2,2,2,2,16,0,0,4,8
